Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250319218718E+018,1060,,1.58250319218365E+018,-36,,1.58250319218553E+018,808,,1.58250327330342E+018,0
1.58250319221E+018,1052,,1.58250319220522E+018,-46,,1.58250319220747E+018,808,,1.58250327447411E+018,0
1.58250319223119E+018,1057,,1.58250319222767E+018,-42,,1.58250319222952E+018,809,,1.58250327505308E+018,100
1.58250319225513E+018,1035,,1.58250319225113E+018,-51,,1.58250319225328E+018,805,,1.58250327564835E+018,0
1.58250319227778E+018,1049,,1.58250319227422E+018,-44,,1.58250319227586E+018,794,,1.58250327681707E+018,0
1.58250319230134E+018,1042,,1.58250319229694E+018,-46,,1.58250319229955E+018,815,,1.58250327798798E+018,0
1.58250319232273E+018,1050,,1.58250319231878E+018,-39,,1.58250319232079E+018,803,,1.58250327915881E+018,0
1.58250319234554E+018,1044,,1.5825031923416E+018,-39,,1.58250319234351E+018,812,,1.5825032803327E+018,0
1.58250319236934E+018,1056,,1.58250319236526E+018,-36,,1.58250319236733E+018,799,,1.58250328150538E+018,0
1.58250319239148E+018,1053,,1.58250319238783E+018,-40,,1.58250319238965E+018,807,,1.58250328268239E+018,0
1.58250319241481E+018,1061,,1.58250319241044E+018,-34,,1.58250319241289E+018,809,,1.58250328385554E+018,0
1.58250319243811E+018,1041,,1.58250319243323E+018,-37,,1.58250319243589E+018,806,,1.58250328502529E+018,0
1.58250319245999E+018,1034,,1.58250319245631E+018,-42,,1.58250319245823E+018,798,,1.58250328619787E+018,0
1.58250319248257E+018,1033,,1.58250319247883E+018,-44,,1.58250319248076E+018,802,,1.58250328736923E+018,0
1.58250319250447E+018,1020,,1.58250319250106E+018,-40,,1.58250319250257E+018,794,,1.58250328853944E+018,0
1.58250319252984E+018,1042,,1.58250319252493E+018,-37,,1.58250319252724E+018,798,,1.58250328944399E+018,0
1.58250319255161E+018,1034,,1.58250319254714E+018,-42,,1.58250319254938E+018,797,,1.58250328954373E+018,0
1.58250319257527E+018,1035,,1.58250319257023E+018,-39,,1.58250319257269E+018,797,,1.58250328964395E+018,0
1.58250319259702E+018,1055,,1.58250319259215E+018,-43,,1.58250319259463E+018,804,,1.58250328974406E+018,0
1.58250319261877E+018,1042,,1.58250319261492E+018,-33,,1.58250319261704E+018,808,,1.58250328984464E+018,0
1.5825031926423E+018,1036,,1.58250319263828E+018,-41,,1.5825031926403E+018,802,,1.58250328994415E+018,0
1.58250319266569E+018,1033,,1.58250319266126E+018,-49,,1.58250319266361E+018,811,,1.58250329004455E+018,0
1.58250319268843E+018,1051,,1.58250319268455E+018,-31,,1.58250319268624E+018,813,,1.58250329014419E+018,0
1.58250319271001E+018,1032,,1.58250319270605E+018,-43,,1.58250319270791E+018,803,,1.58250329024407E+018,0
1.58250319273319E+018,1037,,1.58250319272895E+018,-43,,1.58250319273099E+018,815,,1.58250329034403E+018,0
